ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM
TAK-875	chemical	CID:24857286	PUBCHEM	FFAR1	protein	O14842	UNIPROT	up-regulates	chemical activation
SNAI2	protein	O43623	UNIPROT	MMP9	protein	P14780	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SNAI2	protein	O43623	UNIPROT	CXCR4	protein	P61073	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SNAI2	protein	O43623	UNIPROT	HPGD	protein	P15428	UNIPROT	down-regulates quantity by repression	transcriptional regulation
SNAI2	protein	O43623	UNIPROT	UBE2D3	protein	P61077	UNIPROT	down-regulates quantity by repression	transcriptional regulation
CTBP1	protein	Q13363	UNIPROT	UBE2D3	protein	P61077	UNIPROT	down-regulates quantity by repression	transcriptional regulation
HDAC1	protein	Q13547	UNIPROT	UBE2D3	protein	P61077	UNIPROT	down-regulates quantity by repression	transcriptional regulation
SNAI2	protein	O43623	UNIPROT	CCND1	protein	P24385	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SNAI2	protein	O43623	UNIPROT	VDR	protein	P11473	UNIPROT	down-regulates quantity by repression	transcriptional regulation
CTBP1	protein	Q13363	UNIPROT	VDR	protein	P11473	UNIPROT	down-regulates quantity by repression	transcriptional regulation
HDAC1	protein	Q13547	UNIPROT	VDR	protein	P11473	UNIPROT	down-regulates quantity by repression	transcriptional regulation
PIM1	protein	P11309	UNIPROT	MARK3	protein	P27448	UNIPROT	down-regulates	phosphorylation
LRRK2	protein	Q5S007	UNIPROT	LRRK2	protein	Q5S007	UNIPROT	up-regulates	phosphorylation
HDAC5	protein	Q9UQL6	UNIPROT	MEF2A	protein	Q02078	UNIPROT	down-regulates	binding
CDK8	protein	P49336	UNIPROT	CCNH	protein	P51946	UNIPROT	down-regulates	phosphorylation
CyclinA2/CDK2	complex	SIGNOR-C83	SIGNOR	MCM4	protein	P33991	UNIPROT	down-regulates	phosphorylation
AKT1	protein	P31749	UNIPROT	TSC2	protein	P49815	UNIPROT	down-regulates activity	phosphorylation
ID4	protein	P47928	UNIPROT	SOX2	protein	P48431	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SNAI2	protein	O43623	UNIPROT	CXCL12	protein	P48061	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SOX2	protein	P48431	UNIPROT	ABCC3	protein	O15438	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CyclinA2/CDK2	complex	SIGNOR-C83	SIGNOR	MCM4	protein	P33991	UNIPROT	down-regulates	phosphorylation
CyclinA2/CDK2	complex	SIGNOR-C83	SIGNOR	MCM4	protein	P33991	UNIPROT	down-regulates	phosphorylation
PRKCA	protein	P17252	UNIPROT	NOXA1	protein	Q86UR1	UNIPROT	down-regulates	phosphorylation
SOX2	protein	P48431	UNIPROT	ABCC6	protein	O95255	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SOX9	protein	P48436	UNIPROT	MITF	protein	O75030	UNIPROT	up-regulates activity	binding
SOX9	protein	P48436	UNIPROT	OTX2	protein	P32243	UNIPROT	up-regulates activity	binding
MITF	protein	O75030	UNIPROT	BEST1	protein	O76090	UNIPROT	up-regulates quantity by expression	transcriptional regulation
OTX2	protein	P32243	UNIPROT	BEST1	protein	O76090	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SOX9	protein	P48436	UNIPROT	BEST1	protein	O76090	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TFAP2A	protein	P05549	UNIPROT	DCC	protein	P43146	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SOX9	protein	P48436	UNIPROT	CDKN1A	protein	P38936	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SOX9	protein	P48436	UNIPROT	PRAME	protein	P78395	UNIPROT	down-regulates quantity by repression	transcriptional regulation
HDAC7	protein	Q8WUI4	UNIPROT	PLAG1	protein	Q6DJT9	UNIPROT	down-regulates	deacetylation
PLK2	protein	Q9NYY3	UNIPROT	CENPJ	protein	Q9HC77	UNIPROT	up-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	HRH1	protein	P35367	UNIPROT	down-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	HRH1	protein	P35367	UNIPROT	down-regulates	phosphorylation
SOX9	protein	P48436	UNIPROT	DCC	protein	P43146	UNIPROT	up-regulates quantity by expression	transcriptional regulation
YY1	protein	P25490	UNIPROT	ATP2C1	protein	P98194	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	ATP2C1	protein	P98194	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	CD151	protein	P48509	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	CYP1B1	protein	Q16678	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP3	protein	Q02447	UNIPROT	CYP27A1	protein	Q02318	UNIPROT	up-regulates quantity by expression	transcriptional regulation
HNF4A	protein	P41235	UNIPROT	CYP27A1	protein	Q02318	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	CYP27A1	protein	Q02318	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	DHCR24	protein	Q15392	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	ENG	protein	P17813	UNIPROT	up-regulates quantity by expression	transcriptional regulation
HDAC3	protein	O15379	UNIPROT	SMAD7/HDAC1/E2F-1	complex	SIGNOR-C12	SIGNOR	up-regulates	binding
ERK1/2	proteinfamily	SIGNOR-PF1	SIGNOR	GAB1	protein	Q13480	UNIPROT	down-regulates	phosphorylation
BTRC	protein	Q9Y297	UNIPROT	WEE1	protein	P30291	UNIPROT	down-regulates	binding
PRKACA	protein	P17612	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
CDK1	protein	P06493	UNIPROT	TP53	protein	P04637	UNIPROT	up-regulates	phosphorylation
PLK1	protein	P53350	UNIPROT	WEE1	protein	P30291	UNIPROT	down-regulates	phosphorylation
SIRT1	protein	Q96EB6	UNIPROT	NHLH2	protein	Q02577	UNIPROT	up-regulates activity	deacetylation
SP1	protein	P08047	UNIPROT	ADAM10	protein	O14672	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TGFB1	protein	P01137	UNIPROT	ENG	protein	P17813	UNIPROT	up-regulates quantity by expression	transcriptional regulation
GOPC	protein	Q9HD26	UNIPROT	ADRB1	protein	P08588	UNIPROT	down-regulates	relocalization
MK2a Inhibitor	chemical	CID:11382492	PUBCHEM	MAPK14	protein	Q16539	UNIPROT	down-regulates	chemical inhibition
CHD8	protein	Q9HCK8	UNIPROT	CTNNB1	protein	P35222	UNIPROT	down-regulates	binding
SP3	protein	Q02447	UNIPROT	FMR1	protein	Q06787	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	FMR1	protein	Q06787	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	UGCG	protein	Q16739	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	NDUFV1	protein	P49821	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	NDUFV2	protein	P19404	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	PHGDH	protein	O43175	UNIPROT	up-regulates quantity by expression	transcriptional regulation
NFYA	protein	P23511	UNIPROT	PHGDH	protein	O43175	UNIPROT	up-regulates quantity by expression	transcriptional regulation
NFYB	protein	P25208	UNIPROT	PHGDH	protein	O43175	UNIPROT	up-regulates quantity by expression	transcriptional regulation
NFYC	protein	Q13952	UNIPROT	PHGDH	protein	O43175	UNIPROT	up-regulates quantity by expression	transcriptional regulation
GSK3B	protein	P49841	UNIPROT	SNAI1	protein	O95863	UNIPROT	down-regulates	phosphorylation
ERK1/2	proteinfamily	SIGNOR-PF1	SIGNOR	GAB1	protein	Q13480	UNIPROT	down-regulates	phosphorylation
ERK1/2	proteinfamily	SIGNOR-PF1	SIGNOR	GAB1	protein	Q13480	UNIPROT	down-regulates	phosphorylation
KDM2A	protein	Q9Y2K7	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	down-regulates	demethylation
GSK3B	protein	P49841	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
PRKCZ	protein	Q05513	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
RPS6KA4	protein	O75676	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
MEN1	protein	O00255	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	down-regulates	binding
SRC	protein	P12931	UNIPROT	GRIN2B	protein	Q13224	UNIPROT	up-regulates activity	phosphorylation
GSK3B	protein	P49841	UNIPROT	SNAI1	protein	O95863	UNIPROT	down-regulates	phosphorylation
GSK3B	protein	P49841	UNIPROT	SNAI1	protein	O95863	UNIPROT	down-regulates	phosphorylation
GSK3B	protein	P49841	UNIPROT	SNAI1	protein	O95863	UNIPROT	down-regulates	phosphorylation
IKBKG	protein	Q9Y6K9	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
CASP8AP2	protein	Q9UKL3	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	binding
NSD1	protein	Q96L73	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	methylation
S1PR3	protein	Q99500	UNIPROT	GNAI1	protein	P63096	UNIPROT	up-regulates	binding
602306-29-6	chemical	CID:16747683	PUBCHEM	CDK1	protein	P06493	UNIPROT	down-regulates	chemical inhibition
GSK3B	protein	P49841	UNIPROT	SNAI1	protein	O95863	UNIPROT	down-regulates	phosphorylation
PRKACA	protein	P17612	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
NFKBIA	protein	P25963	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	down-regulates	binding
RPGRIP1L	protein	Q68CZ1	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	down-regulates	demethylation
PPP2CA	protein	P67775	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	down-regulates	dephosphorylation
SPDEF	protein	O95238	UNIPROT	MMP9	protein	P14780	UNIPROT	down-regulates quantity by repression	transcriptional regulation
SPDEF	protein	O95238	UNIPROT	MMP13	protein	P45452	UNIPROT	down-regulates quantity by repression	transcriptional regulation
SRCAP	protein	Q6ZRS2	UNIPROT	KLK3	protein	P07288	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SRCAP	protein	Q6ZRS2	UNIPROT	AR	protein	P10275	UNIPROT	up-regulates activity	binding
MAPK3	protein	P27361	UNIPROT	ARRB1	protein	P49407	UNIPROT	down-regulates	phosphorylation
AURKB	protein	Q96GD4	UNIPROT	NSUN2	protein	Q08J23	UNIPROT	down-regulates	phosphorylation
SP1	protein	P08047	UNIPROT	PON1	protein	P27169	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	POR	protein	P16435	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP3	protein	Q02447	UNIPROT	SLC19A3	protein	Q9BZV2	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	SLC19A3	protein	Q9BZV2	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SP1	protein	P08047	UNIPROT	THBD	protein	P07204	UNIPROT	up-regulates quantity by expression	transcriptional regulation
Retinoic acid	smallmolecule	CID:444795	PUBCHEM	THBD	protein	P07204	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SREBF1	protein	P36956	UNIPROT	PCSK9	protein	Q8NBP7	UNIPROT	up-regulates quantity by expression	transcriptional regulation
RPS6KA5	protein	O75582	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
IKBKB	protein	O14920	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
GSK3B	protein	P49841	UNIPROT	NfKb-p65/p50	complex	SIGNOR-C13	SIGNOR	up-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	up-regulates	phosphorylation
PLK1	protein	P53350	UNIPROT	FBXO5	protein	Q9UKT4	UNIPROT	down-regulates	phosphorylation
SREBF2	protein	Q12772	UNIPROT	PON1	protein	P27169	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SREBF2	protein	Q12772	UNIPROT	PON2	protein	Q15165	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SRC	protein	P12931	UNIPROT	GTF2I	protein	P78347	UNIPROT	up-regulates activity	phosphorylation
PLK4	protein	O00444	UNIPROT	CENPJ	protein	Q9HC77	UNIPROT	up-regulates	phosphorylation
MCM10	protein	Q7L590	UNIPROT	RECQL4	protein	O94761	UNIPROT	down-regulates	binding
CDK8	protein	P49336	UNIPROT	NOTCH1	protein	P46531	UNIPROT	down-regulates	phosphorylation
SMURF1	protein	Q9HCE7	UNIPROT	BMPR1A	protein	P36894	UNIPROT	down-regulates	ubiquitination
PTPN12	protein	Q05209	UNIPROT	GIT2	protein	Q14161	UNIPROT	down-regulates	dephosphorylation
CHUK	protein	O15111	UNIPROT	NCOR2	protein	Q9Y618	UNIPROT	down-regulates	phosphorylation
SREBF2	protein	Q12772	UNIPROT	PCSK9	protein	Q8NBP7	UNIPROT	up-regulates quantity by expression	transcriptional regulation
CDK1	protein	P06493	UNIPROT	EEF2K	protein	O00418	UNIPROT	down-regulates	phosphorylation
ATM	protein	Q13315	UNIPROT	SIAH1	protein	Q8IUQ4	UNIPROT	down-regulates	phosphorylation
ATM	protein	Q13315	UNIPROT	DBF4	protein	Q9UBU7	UNIPROT	down-regulates	phosphorylation
EIF2AK4	protein	Q9P2K8	UNIPROT	MARS	protein	P56192	UNIPROT	down-regulates	phosphorylation
SRF	protein	P11831	UNIPROT	PLG	protein	P00747	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SRF	protein	P11831	UNIPROT	PLAU	protein	P00749	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SRF	protein	P11831	UNIPROT	SERPINE1	protein	P05121	UNIPROT	down-regulates quantity by repression	transcriptional regulation
SOCS1	protein	O15524	UNIPROT	STAT1	protein	P42224	UNIPROT	down-regulates quantity by repression	transcriptional regulation
STAT1	protein	P42224	UNIPROT	TLR3	protein	O15455	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT1	protein	P42224	UNIPROT	IRF7	protein	Q92985	UNIPROT	up-regulates quantity by expression	transcriptional regulation
IL17A	protein	Q16552	UNIPROT	KRT17	protein	Q04695	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT1	protein	P42224	UNIPROT	KRT17	protein	Q04695	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SRC	protein	P12931	UNIPROT	GTF2I	protein	P78347	UNIPROT	up-regulates activity	phosphorylation
MAP3K7	protein	O43318	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	up-regulates	phosphorylation
PAK2	protein	Q13177	UNIPROT	VIM	protein	P08670	UNIPROT	down-regulates activity	phosphorylation
STAT3	protein	P40763	UNIPROT	KRT17	protein	Q04695	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT1	protein	P42224	UNIPROT	MMP13	protein	P45452	UNIPROT	down-regulates quantity by repression	transcriptional regulation
IFNG	protein	P01579	UNIPROT	S100A10	protein	P60903	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SRC	protein	P12931	UNIPROT	IGF1R	protein	P08069	UNIPROT	up-regulates activity	phosphorylation
SRC	protein	P12931	UNIPROT	IGF1R	protein	P08069	UNIPROT	up-regulates activity	phosphorylation
STAT1	protein	P42224	UNIPROT	S100A10	protein	P60903	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT3	protein	P40763	UNIPROT	CD46	protein	P15529	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT3	protein	P40763	UNIPROT	HAMP	protein	P81172	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SRC	protein	P12931	UNIPROT	ITGB3	protein	P05106	UNIPROT	down-regulates activity	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	MME	protein	P08473	UNIPROT	down-regulates	phosphorylation
STAT3	protein	P40763	UNIPROT	HSPA1A	protein	P0DMV8	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT3	protein	P40763	UNIPROT	HSPA1B	protein	P0DMV9	UNIPROT	up-regulates quantity by expression	transcriptional regulation
HSPH1	protein	Q92598	UNIPROT	HSPA1A	protein	P0DMV8	UNIPROT	up-regulates quantity by expression	transcriptional regulation
HSPH1	protein	Q92598	UNIPROT	HSPA1B	protein	P0DMV9	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT4	protein	Q14765	UNIPROT	PRF1	protein	P14222	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT4	protein	Q14765	UNIPROT	S100A4	protein	P26447	UNIPROT	up-regulates quantity by expression	transcriptional regulation
MAPK13	protein	O15264	UNIPROT	EEF2K	protein	O00418	UNIPROT	down-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	JUP	protein	P14923	UNIPROT	up-regulates activity	phosphorylation
AMOT/MPP5/INADL/LIN7C	complex	SIGNOR-C27	SIGNOR	YAP1	protein	P46937	UNIPROT	down-regulates	binding
STAT3	protein	P40763	UNIPROT	SALL4	protein	Q9UJQ4	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT4	protein	Q14765	UNIPROT	LAMTOR5	protein	O43504	UNIPROT	up-regulates activity	binding
LAMTOR5	protein	O43504	UNIPROT	S100A4	protein	P26447	UNIPROT	up-regulates quantity by expression	transcriptional regulation
AMOT/MPP5/INADL/LIN7C	complex	SIGNOR-C27	SIGNOR	WWTR1	protein	Q9GZV5	UNIPROT	down-regulates	binding
Ki16425	chemical	CID:10367662	PUBCHEM	LPAR1	protein	Q92633	UNIPROT	down-regulates	chemical inhibition
MAP3K7	protein	O43318	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	up-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	PRKD1	protein	Q15139	UNIPROT	up-regulates activity	phosphorylation
STAT6	protein	P42226	UNIPROT	HSD3B2	protein	P26439	UNIPROT	up-regulates quantity by expression	transcriptional regulation
STAT6	protein	P42226	UNIPROT	SLC26A4	protein	O43511	UNIPROT	up-regulates quantity by expression	transcriptional regulation
LAMTOR5	protein	O43504	UNIPROT	LIN28B	protein	Q6ZN17	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TBP	protein	P20226	UNIPROT	LIN28B	protein	Q6ZN17	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TBX5	protein	Q99593	UNIPROT	CDKN2A	protein	P42771	UNIPROT	up-regulates quantity by expression	transcriptional regulation
TBX5	protein	Q99593	UNIPROT	MTSS1	protein	O43312	UNIPROT	up-regulates quantity by expression	transcriptional regulation
MAPK1	protein	P28482	UNIPROT	SOS1	protein	Q07889	UNIPROT	down-regulates activity	phosphorylation
MAPK1	protein	P28482	UNIPROT	SOS1	protein	Q07889	UNIPROT	down-regulates activity	phosphorylation
SRC	protein	P12931	UNIPROT	PLCG1	protein	P19174	UNIPROT	up-regulates activity	phosphorylation
TBX5	protein	Q99593	UNIPROT	SNCG	protein	O76070	UNIPROT	down-regulates quantity by repression	transcriptional regulation
PRKAA2	protein	P54646	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	up-regulates	phosphorylation
TBX5	protein	Q99593	UNIPROT	MTA2	protein	O94776	UNIPROT	down-regulates quantity by repression	transcriptional regulation
SPRY1	protein	O43609	UNIPROT	SOS1	protein	Q07889	UNIPROT	down-regulates	binding
AKT1	protein	P31749	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	up-regulates	phosphorylation
BMPR1A	protein	P36894	UNIPROT	BMPR1A/1B/2	complex	SIGNOR-C29	SIGNOR	form complex	binding
SMAD1/4	complex	SIGNOR-C85	SIGNOR	PPARG	protein	P37231	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SMAD1/4	complex	SIGNOR-C85	SIGNOR	CEBPB	protein	P17676	UNIPROT	up-regulates activity	binding
SMAD1/4	complex	SIGNOR-C85	SIGNOR	BMP4	protein	P12644	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SMAD1/4	complex	SIGNOR-C85	SIGNOR	BMP7	protein	P18075	UNIPROT	up-regulates quantity by expression	transcriptional regulation
SMAD5	protein	Q99717	UNIPROT	Differentiation	phenotype	SIGNOR-PH37	SIGNOR	up-regulates	
SMAD9	protein	O15198	UNIPROT	Differentiation	phenotype	SIGNOR-PH37	SIGNOR	up-regulates	
SMAD1	protein	Q15797	UNIPROT	Differentiation	phenotype	SIGNOR-PH37	SIGNOR	up-regulates	
BMPR1B	protein	O00238	UNIPROT	SMAD5	protein	Q99717	UNIPROT	up-regulates activity	phosphorylation
BMPR1A	protein	P36894	UNIPROT	SMAD5	protein	Q99717	UNIPROT	up-regulates activity	phosphorylation
BMPR1A	protein	P36894	UNIPROT	SMAD9	protein	O15198	UNIPROT	up-regulates activity	phosphorylation
BMPR1A	protein	P36894	UNIPROT	SMAD1	protein	Q15797	UNIPROT	up-regulates activity	phosphorylation
BMPR1B	protein	O00238	UNIPROT	SMAD9	protein	O15198	UNIPROT	up-regulates activity	phosphorylation
BMPR1B	protein	O00238	UNIPROT	SMAD1	protein	Q15797	UNIPROT	up-regulates activity	phosphorylation
AKT2	protein	P31751	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	up-regulates	phosphorylation
SMAD5	protein	Q99717	UNIPROT	SMAD5/SMAD4	complex	SIGNOR-C205	SIGNOR	form complex	binding
PRKCD	protein	Q05655	UNIPROT	GSK3A	protein	P49840	UNIPROT	down-regulates	phosphorylation
SMAD4	protein	Q13485	UNIPROT	SMAD5/SMAD4	complex	SIGNOR-C205	SIGNOR	form complex	binding
SMAD9	protein	O15198	UNIPROT	SMAD8/SMAD4	complex	SIGNOR-C206	SIGNOR	form complex	binding
SMAD4	protein	Q13485	UNIPROT	SMAD8/SMAD4	complex	SIGNOR-C206	SIGNOR	form complex	binding
MAPK11	protein	Q15759	UNIPROT	RUNX2	protein	Q13950	UNIPROT	up-regulates	
AKT3	protein	Q9Y243	UNIPROT	IKK-complex	complex	SIGNOR-C14	SIGNOR	up-regulates	phosphorylation
STK11	protein	Q15831	UNIPROT	AMPK	complex	SIGNOR-C15	SIGNOR	up-regulates	phosphorylation
C1QBP	protein	Q07021	UNIPROT	KRT1	protein	P04264	UNIPROT	up-regulates activity	binding
PMP22	protein	Q01453	UNIPROT	MPZ	protein	P25189	UNIPROT	up-regulates activity	binding
TFDP1	protein	Q14186	UNIPROT	E2F1	protein	Q01094	UNIPROT	up-regulates activity	binding
MAPK8	protein	P45983	UNIPROT	MAPK8IP1	protein	Q9UQF2	UNIPROT	up-regulates activity	phosphorylation
JAK2	protein	O60674	UNIPROT	CCR2	protein	P41597	UNIPROT	up-regulates activity	phosphorylation
LYN	protein	P07948	UNIPROT	PRKCD	protein	Q05655	UNIPROT	up-regulates activity	phosphorylation
MAPK14	protein	Q16539	UNIPROT	TP53	protein	P04637	UNIPROT	up-regulates activity	phosphorylation
ABL2	protein	P42684	UNIPROT	PSMA7	protein	O14818	UNIPROT	down-regulates	phosphorylation
ABL1	protein	P00519	UNIPROT	PSMA7	protein	O14818	UNIPROT	down-regulates	phosphorylation
HSP90AB1	protein	P08238	UNIPROT	AR	protein	P10275	UNIPROT	up-regulates activity	binding
HSP90AA1	protein	P07900	UNIPROT	AR	protein	P10275	UNIPROT	up-regulates activity	binding
PLAUR	protein	Q03405	UNIPROT	KRT1	protein	P04264	UNIPROT	up-regulates activity	binding
PTPN2	protein	P17706	UNIPROT	JAK3	protein	P52333	UNIPROT	down-regulates activity	dephosphorylation
PTPN2	protein	P17706	UNIPROT	STAT1	protein	P42224	UNIPROT	down-regulates activity	dephosphorylation
PTPN2	protein	P17706	UNIPROT	JAK1	protein	P23458	UNIPROT	down-regulates activity	dephosphorylation
ROS	stimulus	SIGNOR-ST2	SIGNOR	MAP3K5	protein	Q99683	UNIPROT	up-regulates	
ABL1	protein	P00519	UNIPROT	JUN	protein	P05412	UNIPROT	up-regulates activity	phosphorylation
ZAP70	protein	P43403	UNIPROT	ZAP70	protein	P43403	UNIPROT	up-regulates activity	phosphorylation
LRIG1	protein	Q96JA1	UNIPROT	ERBB3	protein	P21860	UNIPROT	down-regulates	ubiquitination
LRIG1	protein	Q96JA1	UNIPROT	ERBB4	protein	Q15303	UNIPROT	down-regulates	ubiquitination
PTPN9	protein	P43378	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
MKNK1	protein	Q9BUB5	UNIPROT	PLA2G4A	protein	P47712	UNIPROT	up-regulates activity	phosphorylation
PTPN9	protein	P43378	UNIPROT	INSR	protein	P06213	UNIPROT	down-regulates	dephosphorylation
CDK1	protein	P06493	UNIPROT	RUNX1	protein	Q01196	UNIPROT	up-regulates	phosphorylation
ABL1	protein	P00519	UNIPROT	PSTPIP1	protein	O43586	UNIPROT	up-regulates activity	phosphorylation
RPS6KA4	protein	O75676	UNIPROT	FOS	protein	P01100	UNIPROT	up-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	VCL	protein	P18206	UNIPROT	down-regulates activity	phosphorylation
SRC	protein	P12931	UNIPROT	PRKD1	protein	Q15139	UNIPROT	up-regulates activity	phosphorylation
SRC	protein	P12931	UNIPROT	PRKD1	protein	Q15139	UNIPROT	up-regulates activity	phosphorylation
CSNK2A1	protein	P68400	UNIPROT	ARNT	protein	P27540	UNIPROT	down-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	STAT3	protein	P40763	UNIPROT	up-regulates activity	phosphorylation
SRC	protein	P12931	UNIPROT	TXK	protein	P42681	UNIPROT	up-regulates activity	phosphorylation
NEFL	protein	P07196	UNIPROT	Neurofilament L/M	complex	SIGNOR-C207	SIGNOR	form complex	binding
STK11	protein	Q15831	UNIPROT	AMPK	complex	SIGNOR-C15	SIGNOR	up-regulates	phosphorylation
TNFRSF17	protein	Q02223	UNIPROT	MAPK9	protein	P45984	UNIPROT	up-regulates	
NEFM	protein	P07197	UNIPROT	Neurofilament L/M	complex	SIGNOR-C207	SIGNOR	form complex	binding
TNKS2	protein	Q9H2K2	UNIPROT	AXIN2	protein	Q9Y2T1	UNIPROT	down-regulates	ubiquitination
TTK	protein	P33981	UNIPROT	CDCA8	protein	Q53HL2	UNIPROT	up-regulates	phosphorylation
MAPK9	protein	P45984	UNIPROT	CDC25C	protein	P30307	UNIPROT	down-regulates	phosphorylation
SRC	protein	P12931	UNIPROT	STAP2	protein	Q9UGK3	UNIPROT	up-regulates activity	phosphorylation
SRC	protein	P12931	UNIPROT	STAP2	protein	Q9UGK3	UNIPROT	up-regulates activity	phosphorylation
SYK	protein	P43405	UNIPROT	SYK	protein	P43405	UNIPROT	up-regulates activity	phosphorylation
NEFL	protein	P07196	UNIPROT	Neurofilament L/H	complex	SIGNOR-C208	SIGNOR	form complex	binding
HBB	protein	P68871	UNIPROT	Hemoglobin	complex	SIGNOR-C209	SIGNOR	form complex	binding
SRC	protein	P12931	UNIPROT	VIL1	protein	P09327	UNIPROT	up-regulates activity	phosphorylation
